session,exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.1,multiple choice,1,AO1,5.4.2.4,"This question is about acids and bases.
What is the pH of sulfuric acid?
Tick () one box.
| ☐ | 1 |
| ☐ | 7 |
| ☐ | 14 |",1,,2,2,2.0,2.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.2,multiple choice,1,AO1,"5.4.2.1, 5.4.2.2","An acid reacts with zinc to produce zinc chloride and hydrogen.
Which acid reacts with zinc to produce zinc chloride?
Tick () one box.
| ☐ | Hydrochloric acid |
| ☐ | Nitric acid |
| ☐ | Sulfuric acid |",hydrochloric acid,,2,2,2.0,2.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.3,multiple choice,1,AO1,"5.4.2.1, 5.4.2.2","What type of substance is zinc chloride?
Tick () one box.
| ☐ | Alkali |
| ☐ | Base |
| ☐ | Salt |",salt,,2,2,2.0,2.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.4,multiple choice,1,AO2,5.4.2.2,"An alkali is a base in solution.
Which compound is an alkali?
Tick () one box.
| ☐ | Sodium hydroxide |
| ☐ | Sodium nitrate |
| ☐ | Sodium sulfate |",sodium hydroxide,,3,3,3.0,3.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.5,multiple choice,1,AO2,5.1.1.1,"The formula of the copper ion is Cu2+
The formula of the oxide ion is O2–
What is the formula of copper oxide?
Tick () one box.
| ☐ | Cu2O2 |
| ☐ | CuO2 |
| ☐ | CuO |",CuO,,3,3,3.0,3.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.6,short answer,1,AO1,"5.4.2.2, 5.4.2.3, RPA8","A student reacts an acid with copper oxide.
The reaction between the acid and copper oxide is very slow at room temperature.
How could the student speed up the reaction?","any one from:
• increase the concentration of the acid
• increase the surface area of the copper oxide
• warm / heat the mixture","allow use powdered copper oxide
ignore increase room temperature
allow add catalyst
ignore stir",4,4,4.0,4.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.7,short answer,1,AO1,"5.1.1.2, 5.4.2.3, RPA8","Complete the sentence to show how the student makes sure that all the acid reacts.
Choose the answer from the box.
in excess   in solution   molten   soluble
The student adds copper oxide to the acid until the copper oxide is _________________________________.",in excess,,4,4,4.0,4.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.8,multiple choice,1,AO1,"5.1.1.2, 5.4.2.3, RPA8","The student filters the unreacted copper oxide from the solution.
Which apparatus does the student use?
Tick () one box.",1,,5,5,5.0,5.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,1,Q01.9,short answer,1,AO1,"5.4.2.2, 5.4.2.3, RPA8",What process is used to produce crystals of a salt from a salt solution?,crystallisation,allow evaporation,5,5,5.0,5.0,False,,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
NOV20,AQA GCSE Combined Science: Chemistry Paper 1F,2020,2,Q02.1,calculation,2,AO2,"5.4.1.2, 5.5.1.1, RPA 10","A student investigated the temperature change when metal X was added to copper sulfate solution.
This is the method used.... Figure 2 shows the thermometer reading of the copper sulfate solution at the start of the investigation.
Figure 2
The highest temperature reached when metal X was added to copper sulfate solution was 35.5 °C
Determine the temperature change when metal X is added to copper sulfate solution.
Use Figure 2.
Highest temperature = 35.5 °C
Temperature at start = ____ °C
Temperature change = ____ °C","21.1 (°C)
14.4 (°C)",allow correct use of an incorrect start temperature,7,7,7.0,7.0,True,Figure 2,False,,C1F Papers and Mark Schemes\AQA-8464C1F-QP-NOV20.PDF,C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-NOV20.PDF
