"exam","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","page_start","page_end","has_figure","figure_labels_joined","has_table","table_labels_joined","question_pdf_filename","question_pdf_path","question_pdf_url"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.1","multiple choice","1","AO3","5.4.1.2","This question is about reactions of metals.
Figure 1 shows what happens when calcium, copper, magnesium and zinc are added to hydrochloric acid.
Figure 1
What is the order of decreasing reactivity of these four metals?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | Zn Ca Cu Mg |
| ☐ | Ca Cu Mg Zn |
| ☐ | Cu Zn Ca Mg |
| ☐ | Ca Mg Zn Cu |","Ca Mg Zn Cu","","2","2","true","Figure 1","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.2","short answer","2","AO3","5.4.1.2","A student wants to make a fair comparison of the reactivity of the metals with hydrochloric acid.
Name two variables that must be kept constant.
[2 marks]
1 ____________________________
2 ____________________________","any two from:
• mass (of metal / element)
• surface area (of metal / element)
• concentration (of acid)
• volume (of acid)
• temperature (of acid)","allow weight
ignore size
ignore length
ignore pH
ignore strength
ignore room temperature","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.3","short answer","1","AO2","5.4.1.2","What is the independent variable in this reaction?
[1 mark]
____________________________","(type of) metal / element","","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.4","short answer","2","AO3","5.1.2.3; 5.1.2.5; 5.4.1.2","Predict the reactivity of beryllium compared with magnesium.
Give a reason for your answer.
Use the periodic table.
[2 marks]
Reason
____________________________","(beryllium is) less reactive
any one from:
• greater attraction between nucleus and outer electrons
• more energy is needed to remove electrons
• loss of electrons is more difficult
• outer electrons closer to nucleus
• less shielding","allow converse answers for 
magnesium
MP2 only if MP1 is correct
allow higher in group
allow reactivity increases down 
the group
ignore reactivity series","3","3","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q01","Q01.5","calculation","3","AO2","5.3.2.5","A solution of hydrochloric acid contains 3.2 g of hydrogen chloride in 50 cm3
Calculate the concentration of hydrogen chloride in g per dm3
[3 marks]
Concentration = ______ g per dm3","50
1000 (dm3) = 0.05 (dm3)
(
3.2
0.05 ) = 64 (g per dm3)
alternative approach:
3.2
50 (1) = 0.064 (1)
(× 1000) = 64 (g per dm3) (1)
alternative approach:
1000
50 (1) = 20 (1)
(× 3.2) = 64 (g per dm3) (1)
an answer of 64 (g per dm3) scores 3 marks","an incorrect answer for one 
step does not prevent 
allocation of marks for 
subsequent steps
an answer of 0.16 / 0.064 / 0.64 
/ 6.4 / 6.4 × 10–5 (g per dm3
) 
gains 2 marks","3","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q01.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.1","short answer","1","AO1","5.2.2.2","This question is about salts.
Ammonium nitrate solution is produced when ammonia gas reacts with nitric acid.
Give the state symbol for ammonium nitrate solution.
[1 mark]","(aq)","allow aq 
ignore aqueous
ignore formulae","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.2","multiple choice","1","AO1","5.1.1.1; 5.4.2.2","What is the formula of nitric acid?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | HCl |
| ☐ | HNO3 |
| ☐ | H2SO4 |
| ☐ | NH4OH |","HNO3","","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.3","short answer","2","AO1","5.4.2.4","Ammonia gas dissolves in water to produce ammonia solution.
Ammonia solution contains hydroxide ions, OH–
A student adds universal indicator to solutions of nitric acid and ammonia.
What colour is observed in each solution?
[2 marks]
Colour in nitric acid ____________________________
Colour in ammonia solution ____________________________","red
purple
or
blue","allow orange or yellow
do not accept green
allow shades of purple eg violet","4","4","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.4","multiple choice","1","AO3","5.4.2.4","The student gradually added nitric acid to ammonia solution.
Which row, A, B, C or D, shows the change in pH as the nitric acid is added until in excess?
[1 mark]
Tick (✓) one box.

|   | pH of ammonia solution at start | pH after addition of excess nitric acid |
|---|-------------------------------|----------------------------------------|
| ☐ | 10                            | 7                                      |
| ☐ | 2                             | 10                                     |
| ☐ | 7                             | 1                                      |
| ☐ | 10                            | 2                                      |","D","","5","5","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
"AQA GCSE Combined Science: Chemistry Paper 1H (June 2019)","Q02","Q02.5","calculation","3","AO2","5.3.1.2","Calculate the percentage by mass of oxygen in ammonium nitrate (NH4NO3).
Relative atomic masses (Ar): H = 1 N = 14 O = 16
Relative formula mass (Mr): NH4NO3 = 80
[3 marks]
Percentage by mass of oxygen = ______ %","3 × 16 or 48
48
80 (×100)
60 (%)
an answer of 60 (%) scores 3 marks","an answer of 20 (%) scores 2
marks for:
16
80 (× 100) (1)
 = 20 (%) (1)","5","5","false","","false","","AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf","file:///C:\Users\skyka\Past Paper JSON interpreter\question_pdfs\AQA-8464C1H-QP-JUN19 (1)_Q02.pdf"
