exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,page_start,page_end,has_figure,figure_labels_joined,has_table,table_labels_joined,figure_labels,table_labels
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q01.1,Q01.1,short answer,3,AO2,5.4.2.2; 5.4.2.3,"This question is about salts.
Green copper carbonate and sulfuric acid can be used to produce blue copper sulfate crystals.
Excess copper carbonate is added to sulfuric acid.
Give three observations you would make.
1
2
3
","any three from:
• green solid / powder
• colourless solution
• blue solution formed
• copper carbonate disappears
• fizzing / effervescence or bubbles (of gas)
• stops fizzing
• solid / powder left at the end or copper carbonate left at the end","ignore green copper carbonate
allow colour (of solution) changes
allow solid disappears
ignore gas
allow fizzing slows down
allow (container) gets hot
or
allow temperature increases",3,3,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q01.2,Q01.2,short answer,1,AO1,5.4.2.3,How can the excess copper carbonate be removed?,filtration or filter,,3,3,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q01.3,Q01.3,short answer,1,AO1,5.4.2.3; 5.4.2.4,"The pH of the solution changes during the reaction.
What is the pH of the solution at the end of the reaction?
pH = ____",7,,3,3,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q01.4,Q01.4,short answer,1,AO1,5.4.2.2; 5.4.2.4,"Copper carbonate and sulfuric acid react to produce copper sulfate.
What type of reaction is this?",neutralisation,allow exothermic,3,3,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q01.5,Q01.5,calculation,3,AO2,5.4.2.3,"Ammonium nitrate is a salt. 
Figure 1 shows the maximum mass of ammonium nitrate that can dissolve in 100 cm3 of water at different temperatures.
Figure 1
A student adds ammonium nitrate to water at 80 °C until no more dissolves.
The student cools 100 cm3 of this solution of ammonium nitrate from 80 °C to 20 °C to produce crystals of ammonium nitrate.
Determine the mass of ammonium nitrate that crystallises on cooling 100 cm3 of this solution from 80 °C to 20 °C
Mass = ____ g","83 (g at 80 °C)
32 (g at 20 °C)
(83 – 32) = 51 (g)","allow a value in range 82–84 (g at 80 °C)
allow a value in range 32–33 (g at 20 °C)
allow a correct calculation using incorrectly read values for mass at 80 °C and/or 20 °C",4,5,TRUE,Figure 1,FALSE,,Figure 1,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q02.1,Q02.1,multiple choice,1,AO2,5.1.1.1; 5.4.3.4,"This question is about electrolysis. 
Figure 2 shows the apparatus used to investigate the electrolysis of potassium sulfate solution.
Figure 2
Potassium sulfate contains K+ and SO4 2– ions.
What is the formula of potassium sulfate?
Tick (✓) one box.

|   |   |
|---|---|
| □ | KSO4 |
| □ | K2SO4 |
| □ | K(SO4)2 |
| □ | K2(SO4)2 |",K2SO4,,6,6,TRUE,Figure 2,FALSE,,Figure 2,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q02.2,Q02.2,calculation,1,AO2,5.4.3.4,"What are the volumes of gases collected in the electrolysis experiment?
Use Figure 2.
Volume of hydrogen = ____ cm3
Volume of oxygen = ____ cm3",(volume of hydrogen) 30 (cm³) and (volume of oxygen) 15 (cm³),,7,7,TRUE,Figure 2,FALSE,,Figure 2,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q02.3,Q02.3,short answer,2,AO3,5.4.3.4,"A student made the following hypothesis:
‘The volumes of gases collected in this electrolysis experiment are in the same ratio as hydrogen atoms to oxygen atoms in a water molecule.’
Explain how the volumes of gases collected in the experiment in Figure 2 support the student’s hypothesis.
Use your answer to Question 02.2","(because) the ratio of volume of hydrogen : oxygen is 2 : 1
(and this is the) same as the ratio of hydrogen (atoms) : oxygen (atoms) in (formula of) H2O

OR

(because) the ratio of volume of hydrogen : oxygen is not 2 : 1
(and this is) different to the ratio of hydrogen (atoms) : oxygen (atoms) in (formula of) H2O",must relate to the volumes given in question 02.2,7,8,TRUE,Figure 2,FALSE,,Figure 2,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q02.4,Q02.4,multiple choice,1,AO2,5.3.1.4,"The experiment is repeated 4 times.
The volumes of oxygen collected in the 4 experiments are:
6 cm3  9 cm3  10 cm3  11 cm3
The mean volume of oxygen collected in the 4 experiments is 9 cm3
The measure of uncertainty is the range of a set of measurements about the mean.
What is the measure of uncertainty in the 4 experiments?
Tick (✓) one box.

|   |   |
|---|---|
| □ | 9 ± 1 cm3 |
| □ | 9 ± 2 cm3 |
| □ | 9 ± 3 cm3 |",9 ±3 cm³,,8,8,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q02.5,Q02.5,calculation,3,AO2,5.3.2.5; 5.4.3.4,"The potassium sulfate solution has 0.86 g of potassium sulfate dissolved in 25 cm3 of water.
Calculate the mass of potassium sulfate needed to make 1.0 dm3 of solution.
Mass = ____ g","(conversion)
25/1000 = 0.025 (dm³)

(concentration =) 0.86/0.025 = 34.4 (g per dm³)

OR

(conversion)
1000/25 = 40

(40 × 0.86) = 34.4 (g per dm³)

OR

(concentration =) 0.86/25 = 0.0344

(conversion)
(0.0344 × 1000) = 34.4 (g per dm³)","allow correct use of incorrect / no conversion 
allow 34 (g per dm³)
allow correct use of incorrect / no conversion 
allow 34 (g per dm³)
allow 34 (g per dm³)",8,9,FALSE,,FALSE,,,
"AQA GCSE Combined Science: Chemistry Paper 1H, 2022",2022,Q03,Q03,extended response,6,AO3,5.4.1.2,"Plan an investigation to find the order of reactivity of three metals.
You should use the temperature change when each metal reacts with hydrochloric acid.","Level 3: The method would lead to the production of a valid outcome. All key steps are identified and logically sequenced.
Level 2: The method would not necessarily lead to a valid outcome. Most steps are identified, but the method is not fully logically sequenced.
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear.
No relevant content.

Indicative Content
• measure volume of (hydrochloric) acid
• into a suitable container e.g. polystyrene cup
• measure the initial temperature (of hydrochloric acid)
• with a thermometer
• add stated mass of one metal
• stir
• measure the highest temperature reached of the solution or measure temperature reached after a set time period
• determine the temperature difference
• repeat
• repeat for each metal
• with same mass
• in same physical state (powder, lump, etc)
• with the same volume and/or concentration of (hydrochloric) acid
• use results to arrange metals in order of reactivity
• most reactive metal has the largest temperature change",to access level 3 there must be an indication of how the temperature change is determined with the same mass of the 3 different metals reacted with the same volume of (hydrochloric) acid,9,9,FALSE,,FALSE,,,
