"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.1","multiple choice","1","AO1","5.1.2.5","What are the Group 1 elements known as?
Tick () one box.
|   |   |
|---|---|
|   | Alkali metals |
|   | Halogens |
|   | Noble gases |","alkali metals","","2","2","10","10","false","","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.2","short answer","2","AO2","5.1.1.5","Figure 1 shows a lithium atom.
What is the number of electrons and neutrons in the atom of lithium?
Number of electrons
Number of neutrons","3 / three  
4 / four  
must be in this order","","2","2","10","10","true","Figure 1","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.3","multiple choice","1","AO2","5.1.1.4","What is the relative charge on a lithium ion?
Tick () one box.
|   |   |
|---|---|
|   | +1 |
|   | 0  |
|   | –1 |","+1","","2","2","10","10","false","","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.4","table completion","2","AO1","5.2.2.1","Lithium is heated and then cooled in an experiment.
Two physical changes happen in the experiment.
Draw one line from each stage to the physical change that happens in that stage.
| Stage   | Physical change |
|---------|----------------|
| Stage 1 | Boiling        |
| Stage 2 | Condensing     |
|         | Dissolving     |
|         | Freezing       |
|         | Melting        |","do not accept more than one line from a box on the left","do not accept more than one line from a box on the left ","3","4","10","10","false","","true","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.5","short answer","1","AO2","5.1.2.5","Figure 2 box represents the melting points of some Group 1 elements.
What is the melting point of caesium?
Use Figure 2.
Melting point = ____ °C","28 (°C)","","5","5","10","10","true","Figure 2","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.6","short answer","1","AO3","5.1.2.5","The melting point of potassium is 63 °C
Draw a bar for the melting point of potassium on Figure 2.","bar plotted at 63 °C","allow a tolerance of ± ½ a small square","5","5","10","10","true","Figure 2","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.7","short answer","3","AO1","5.1.2.5","Describe the trend of the melting points of the Group 1 elements in Figure 2.","(melting point) decreases as go down Group 1
(and the) differences get smaller
or
initial drop is largest","allow converse in terms of increasing melting point
ignore boiling points
allow 1 mark for (melting point) decreases","5","5","10","10","true","Figure 2","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.8","multiple choice","1","AO3","5.1.2.5, 5.2.2.1","The boiling point of sodium is 883 °C
What is the state of sodium at 150 °C?
Use Figure 2.
Tick () one box.
|   |   |
|---|---|
|   | Gas |
|   | Liquid |
|   | Solid |","liquid","","5","5","10","10","true","Figure 2","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","1","01.9","short answer","1","AO1","5.1.1.7, 5.1.2.1, 5.1.2.5","Figure 3 represents the electronic structure of a sodium atom and of a potassium atom.
Complete the sentence.
Choose the answer from the box.
gains an electron   loses an electron   shares an electron
Potassium is more reactive than sodium because potassium more easily __________.","loses an electron","","6","6","10","10","true","Figure 3","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 1F, 2022","2022","2","02.1","short answer","2","AO1","5.1.2.6, 5.2.1.4","A chlorine atom has 7 electrons in the outer shell.
A hydrogen atom has 1 electron in the outer shell.
Figure 4 represents part of a dot and cross diagram for a molecule of hydrogen chloride.
Complete the dot and cross diagram.
Use dots (ο) and crosses (x) to represent electrons.
You should show only the electrons in the outer shells.","one shared pair in overlap
6 non-bonding electrons in outer shell of chlorine","allow any combination of circles, dots, crosses or e(–)
do not accept extra electron(s) on outer shell of hydrogen
ignore any inner shell electrons
an answer of
scores 2 marks","7","7","10","10","true","Figure 4","false","","C1F Papers and Mark Schemes/AQA-8464C1F-QP-JUN22.PDF","C1F Papers and Mark Schemes/AQA-8464-C1F-Final-MS-Jun22-v1.1.pdf"
