session,Paper,Year,question_id,Question,Type,Marks,AO,Spec Code,Text,Mark Scheme,Extra Notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms,figure_labels,table_labels,PDF Link
Jun18, 1H,2018,1,1.1,short answer,1,AO1,4.3.1.3,"Eating food containing Salmonella bacteria can cause illness.
 Two symptoms of infection by Salmonella are vomiting and diarrhoea.
 What causes these symptoms?",toxins / poisons (secreted by / from / in bacteria),,3,3,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.2,short answer,2,AO2,4.3.1.1,"Give two ways a person with a mild infection of Salmonella can help prevent the 
 spread of the bacteria to other people.
 1
 2","any two from:
 • wash hands after using toilet / being sick or wash hands before preparing / handling food or do not prepare food (whilst infected)
 • isolate yourself
 • disinfect clothes / surfaces
 • do not share utensils / cutlery / towels","ignore ‘wash hands’ unqualified
 ignore reference to coughing / sneezing
 allow examples of how isolation could be achieved",3,3,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.3,short answer,1,AO1,4.3.1.8,"In very serious infections of Salmonella, a doctor can prescribe drugs to kill 
 the bacteria.
 What type of drug can the doctor prescribe to kill the bacteria?",antibiotics,allow named examples of antibiotics,3,3,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.4,short answer,2,AO2,4.3.1.2,"A person with AIDS may take longer than a healthy person to recover from a 
 Salmonella infection.
 Explain why.","immune system is damaged / weakened or immune system doesn’t function properly
 white blood cells cannot kill bacteria / Salmonella (as effectively)","allow immunocompromised
 allow lack of / no white blood cells
 allow no / fewer antibodies so bacteria not killed or less phagocytosis so bacteria not killed or no / fewer antitoxins to counter toxins",3,4,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.5,short answer,1,AO1,4.3.1.3,"Salmonella bacteria can be transmitted from chickens to humans. Chickens can be 
 vaccinated to prevent the transmission of Salmonella bacteria to humans.
 Suggest one other way farmers could prevent the transmission of Salmonella
 from chickens to humans.","any one from:
 • (give chickens) antibiotics
 • don’t sell infected chickens / eggs
 • keep infected chickens isolated / indoors
 • slaughter the infected chickens","allow (give chickens) monoclonal antibodies
 allow don’t sell the chickens / eggs
 ignore don’t sell chickens / eggs
 allow keep the chickens indoors
 ignore keep chickens indoors
 ignore vaccination / chlorination / disinfection",4,4,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.6,short answer,1,AO3,4.1.1.6; 4.3.1,"A restaurant owner employed a scientist to test the effectiveness of two kitchen 
 cleaning liquids.
 The scientist took samples from two work surfaces:
 • before the surfaces had been cleaned with the cleaning liquids
 • after the surfaces had been cleaned with the cleaning liquids.
 The samples were then analysed for the number of bacteria they contained.
 The results are shown in Figure 1.
 Which cleaning liquid is the more effective? 
 Give a reason for your answer.
 Cleaning Liquid
 Reason","(cleaning liquid) B
 and
 greater reduction in number of bacteria (after cleaning) in both locations","ignore few bacteria in both locations
 allow neither / both and idea of experimental error",5,5,10,10,TRUE,Figure 1,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 1'],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.7,short answer,1,AO2,4.1.1.6,"The scientist investigated the effect of cleaning liquid A and cleaning liquid B on 
 Salmonella bacteria grown in a laboratory.
 Figure 2 shows the way the investigation was set up.
 The Petri dish was placed in an incubator at 25 °C for 48 hours.
 After 48 hours, the scientist calculated the area around each paper disc where no 
 bacteria were growing.
 The results are shown in Table 1.
 
 Table 1
 | Filter paper disc | Area around disc with no bacteria growing in cm2 |
 | :---------------- | :----------------------------------------------- |
 | Water | 0 |
 | Cleaning liquid A | 11 |
 | Cleaning liquid B | 13 |
 What measurement would the scientist need to take to calculate the area where no 
 bacteria were growing?",radius (of area with no bacteria growing),"allow diameter (of the area with no bacteria growing)
 ignore πr2 unqualified
 allow idea of placing agar plate onto graph paper and counting the squares not covered with bacteria",6,6,10,10,TRUE,Figure 2,TRUE,Table 1,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 2'],['Table 1'],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.8,short answer,1,AO3,4.1.1.6,"Give one change to the investigation that would allow the scientist to check if the 
 results are repeatable.",repeat and look to see if results are similar,"ignore repeat unqualified
 allow repeat and look to see if results are different
 allow repeat and see if there are anomalies
 ignore repeat and identify anomalies
 ignore repeat and compare unqualified",7,7,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,1,1.9,short answer,1,AO3,4.1.1.6,"The scientist showed the results to the restaurant owner.
 Both cleaning liquids cost the same per dm3.
 Suggest one other factor the restaurant owner should consider when choosing which 
 cleaning liquid to use.","any one from:
 • toxicity / side / health effects
 • effect on other types of bacteria / pathogens
 • interaction with other cleaners
 • ease of use
 • dilution factor of each cleaner (vs. cost)
 • time cleaner is effective for","ignore harmful / dangerous
 allow reference to allergies
 allow not tested on other types of bacteria
 ignore germs
 ignore concentration unqualified
 ignore how long the cleaner lasts for
 allow reference to odour of cleaning liquid 
 ignore reference to cost unqualified
 ignore environmental effects / flammability",7,7,10,10,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/19MfyrHzq1HghjgdwcsXcacHyNWZPHmrW/view
Jun18, 1H,2018,2,2.1,short answer,1,AO1,4.4.2.3,"Metabolism is the sum of all the chemical reactions in the cells of the body.
 One metabolic reaction is the formation of lipids.
 Give one other metabolic reaction in cells.","any one from:
 • respiration
 • formation of proteins
 • formation / breakdown of glycogen
 • breakdown of (excess) protein or formation of urea
 • photosynthesis or formation of glucose / starch (in plants)","allow other correct reference to metabolic reactions in cells 
 ignore reference to digestion
 ignore formation of carbohydrates",8,8,11,11,FALSE,,FALSE,,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],[],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,2,2.2,multiple choice,2,AO3,4.4.2.3,"Table 2 shows the mean metabolic rate of humans of different ages.
 
 Table 2
 | Age in years | Mean metabolic rate in kJ/m2/hour |
 | :----------- | :-------------------------------- |
 | | Males | Females |
 | 5 | 53 | 53 |
 | 15 | 45 | 42 |\
 | 25 | 39 | 35 |
 | 35 | 37 | 35 |
 | 45 | 36 | 35 |
 What two conclusions can be made from the data in Table 2?
 Tick two boxes.
 [ ] As age increases, mean metabolic rate of males and 
  females increases.
 [ ] Males have a higher metabolic rate than females after 
  five years of age.
 [ ] The mean metabolic rate of females decreases faster than males 
  up to 25 years of age.
 [ ] The mean metabolic rate of males and females decreases more 
  quickly after the age of 35.
 [ ] There is no relationship between age and mean metabolic rate.","males have a higher metabolic rate than females after five years of age
 the mean metabolic rate of females decreases faster than males up to 25 years of age",each additional tick negates a mark,8,9,11,11,FALSE,,TRUE,Table 2,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 2'],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,2,2.3,calculation,3,AO2,4.4.2.3,"Calculate the percentage decrease in the mean metabolic rate of males between 
 5 years and 45 years of age.
 Use the equation:
 percentage decrease= 
 decrease in metabolic rate
 original metabolic rate × 100
 Give your answer to 3 significant figures.
 
 Percentage decrease =","53 - 36 = 17
 (17 / 53) × 100 = 32.075472…
 32.1","an answer of 32.1 scores 3 marks
 allow correct rounding of this to
 at least 4 significant figures
 allow a correct reduction to 3 significant figures from an incorrect calculation for marking point 2",9,10,11,11,FALSE,,TRUE,Table 2,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 2'],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,2,2.4,short answer,2,AO3,4.4.2.2,"Regular exercise can increase metabolic rate.
 Two people did five minutes of gentle exercise from rest.
 Table 3 shows the effect of the exercise on their heart rates.
 
 Table 3
 | Time in minutes | Heart rate in beats per minute |
 | :-------------- | :----------------------------- |
 | | Person R | Person S |
 | 0 (at rest) | 60 | 78 |
 | 1 | 76 | 100 |
 | 2 | 85 | 110 |
 | 3 | 91 | 119 |\
 | 4 | 99 | 129 |
 | 5 | 99 | 132 |
 Describe two differences in the response of person R and person S to the exercise.
 Use information from Table 3.
 1
 2","any two from:
 • (person) R heart rate rose / increased more slowly than (person) S
 • (person) R heart rate levelled off whereas (person) S continued to increase
 • (person) R heart rate rose less (overall / after 5 minutes of exercise) than S","allow converse
 allow correct use of figures 
 eg R increased (overall) by 39 bpm / 65% and S by 54 bpm / 69%
 ignore lack of units",10,11,11,11,FALSE,,TRUE,Table 3,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,[],['Table 3'],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
Jun18, 1H,2018,2,2.5,table completion,4,AO2,4.4.2.2,"Complete the line graph in Figure 3 for person S.
 You should:
 • add the scale to the x axis
 • label the x axis.
 
 Figure 3","correct scale and axis labelled
 all points plotted correctly (to within ± ½ square)
 line joined point to point or correct curved line of best fit","allow min(s)
 do not accept ‘m’
 the zero is not required on the x-axis
 allow 4 or 5 correct plots for 1 mark",11,11,11,11,TRUE,Figure 3,TRUE,Table 3,AQA-84611H-QP-JUN18.PDF,AQA-84611H-W-MS-JUN18.PDF,['Figure 3'],['Table 3'],https://drive.google.com/file/d/1ICqDyHbLolMNokael6NxNlC8JNssomJL/view
