session,exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.1,multiple choice,1,AO1,5.7.1.2,"The hydrocarbons in crude oil are separated into fractions by fractional distillation.
Figure 1 shows a fractional distillation column.
Figure 1
Crude oil vapour passes up the column.
Complete the sentence.
Choose the answer from the box.

condenses    dissolves    freezes    melts

Each fraction _______ at a different level.",condenses,,2,2,10,10,TRUE,Figure 1,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.2,multiple choice,1,AO1,"5.7.1.2, 5.7.1.3","Why do the fractions separate?
Tick one box.

|   | □ | The fractions have different boiling points. |
|---|---|-------------------------------------------|
|   | □ | The fractions have different flammability.  |
|   | □ | The fractions have different melting points.|
|   | □ | The fractions have different viscosity.     |",the fractions have different boiling points,,3,3,10,10,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.3,short answer,1,AO2,5.7.1.1,"Most of the hydrocarbons in crude oil are alkanes.
Figure 2 represents an alkane molecule.
Figure 2
Name the alkane.
________________________",propane,do not accept propene,3,3,10,10,TRUE,Figure 2,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.4,multiple choice,1,AO1,5.7.1.1,"Methane (CH4) is an alkane.
What is the general formula for alkanes?
Tick one box.

|   | □ | CnHn      |
|---|---|------------|
|   | □ | CnH2n     |
|   | □ | CnH2n–2   |
|   | □ | CnH2n+2   |",CnH2n+2,,4,4,10,10,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.5,short answer,1,AO2,"5.1.1.1, 5.7.1.3","Alkanes burn in oxygen.
Balance the equation for methane burning.
CH4 + O2 → CO2 + H2O
________________________",CH4 + 2 O2 → CO2 + 2 H2O,allow multiples,4,4,10,10,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.6,multiple choice,1,AO1,5.7.1.4,"Ethene is an alkene.
Which reagent is used to test for alkenes?
Tick one box.

|   | □ | Anhydrous copper sulfate |
|---|---|-------------------------|
|   | □ | Bromine water           |
|   | □ | Damp litmus paper       |
|   | □ | Limewater               |",bromine water,,4,4,10,10,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.7,short answer,1,AO1,5.10.2.1,"Table 1 shows data from a life cycle assessment (LCA) for the disposal of 10 000 biodegradable plastic bags.

Table 1
|                          | Burning and using the energy to generate electricity | Landfill |
|--------------------------|--------------------------------------------|---------|
| Mass of carbon dioxide produced in kg | 25 | 15 |
| Mass of solid residue in kg | 0.050 | 0.070 |
| Mass of sulfur dioxide produced in kg | 0.20 | 0.30 |

Why are life cycle assessments (LCA) done?
________________________",to assess the environmental impact (of the stages in the life of a product),"allow to see the effect / harm /
damage on the Earth /
environment / planet
ignore references to energy, 
pollution, carbon footprint, 
carbon dioxide, sustainability",5,5,10,10,FALSE,,TRUE,Table 1,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,1,01.8,extended response,4,AO3,"5.10.2.1, 5.10.2.2, 5.9.2.2","Compare the two methods for the disposal of biodegradable plastic bags.
Use information from Table 1
________________________","Level 2: Scientifically relevant features are identified; the ways in which they are similar / different is made clear and the magnitude of the similarity / difference noted. 3–4
Level 1: Relevant features are identified and differences noted. 1–2
No relevant content 0

Indicative content

- burning 10 000 bags produces 10 kg more of carbon dioxide than landfill
- putting 10 000 bags in landfill produces 0.02 kg more of solid residue than burning.
- putting 10 000 bags in landfill produces 50% more sulfur dioxide than burning
- burning 10 000 bags produces 25 kg of carbon dioxide, but landfill only produces 15 kg 
- putting 10 000 bags in landfill produces 0.07 kg of solid residue but burning only produces 0.05 kg
- landfill produces less carbon dioxide than burning
- landfill produces more solid residue than burning
- burning produces less sulfur dioxide than landfill",,5,6,10,10,FALSE,,TRUE,Table 1,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,2,02.1,multiple choice,1,AO1,5.9.2.2,"Carbon dioxide is a greenhouse gas.
What is another greenhouse gas?
Tick one box.

|   | □ | Argon    |
|---|---|----------|
|   | □ | Methane  |
|   | □ | Nitrogen |
|   | □ | Oxygen   |",methane,,6,6,11,11,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
JUN18,AQA GCSE Combined Science: Chemistry Paper 2H,2018,2,02.2,short answer,2,AO1,5.9.2.3,"Greenhouse gases cause global climate change.
Give two effects of global climate change.
1 ________________________
2 ________________________","any two examples from:
- rising sea levels
- melting ice
- agricultural problems
- extremes of weather
- loss of habitats","allow effects from the same 
bullet point
ignore global warming
ignore acid rain
ignore global dimming
do not accept reference to 
ozone",6,6,11,11,FALSE,,FALSE,,AQA-8464C2H-QP-JUN18.PDF,AQA-8464C2H-W-MS-JUN18.PDF
