"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","1","Q01.1","multiple choice","1","AO2","5.1.2.2","Figure 1 shows part of Mendeleev’s version of the periodic table.
Figure 1
Which group of elements had not been discovered when Mendeleev’s version of the periodic table was published?
[1 mark]
A □
B □
C □
D □","(Group) 0 or noble gases","","2","2","10","10","true","Figure 1","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","1","Q01.2","multiple choice","1","AO2","5.1.1.3","Figure 2 represents different models of the atom.
Figure 2
Which model represents the plum pudding model?
[1 mark]
Tick (✓) one box.
A □
B □
C □
D □","B","","3","3","10","10","true","Figure 2","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","1","Q01.3","multiple choice","1","AO3","5.1.1.3","Which model resulted from Chadwick’s experimental work?
[1 mark]
Tick (✓) one box.
A □
B □
C □
D □","A","","3","3","10","10","true","Figure 2","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","1","Q01.4","short answer","2","AO1","5.1.1.5","Potassium has different isotopes.
What is meant by ‘isotopes’?
You should refer to subatomic particles.
[2 marks]","(atoms with the) same number of protons
(but with) different numbers of neutrons","allow atoms with the same 
atomic number
allow atoms of the same 
element
ignore the same number of 
electrons
ignore (but with) different mass 
numbers
do not accept (but with) different 
relative atomic mass","4","4","10","10","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","1","Q01.5","calculation","3","AO2","5.1.1.6","Table 1 shows the mass numbers and the percentage abundance of two isotopes of potassium.

Table 1
| Mass number | Percentage abundance |
|-------------|---------------------|
| 39          | 93.1                |
| 41          | 6.9                 |

Calculate the relative atomic mass (Ar) of potassium.
Give your answer to 1 decimal place.
[3 marks]
Relative atomic mass (1 decimal place) = ____","(39 × 93.1) + (41 × 6.9)
100
= 39.138
= 39.1","allow correctly rounded answer 
to 1 decimal place from an 
incorrect calculation using all the 
values given in the question","4","5","10","10","false","","true","Table 1","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","2","Q02.1","multiple choice","1","AO1","5.4.2.4","Acids react to produce salts.
Universal indicator is added to water and then nitric acid is added to the mixture.
Give the colour change when nitric acid is added to the mixture of universal indicator and water.
[1 mark]
Tick (✓) one box.
Blue to red □
Green to purple □
Green to red □
Red to purple □","green to red","","6","6","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","2","Q02.2","multiple choice","1","AO1","5.4.2.4","What happens to the pH of water when nitric acid is added?
[1 mark]
Tick (✓) one box.
Decreases □
Stays the same □
Increases □","decreases","","6","6","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","2","Q02.3","short answer","1","AO1","5.2.2.2","What is the state symbol for nitric acid?
[1 mark]","(aq)","allow aq
ignore aqueous
ignore HNO3","6","6","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","2","Q02.4","short answer","2","AO3","5.4.2.2, 5.4.2.3","Zinc carbonate reacts with nitric acid.
The word equation for the reaction is:
zinc carbonate + nitric acid → zinc nitrate + water + carbon dioxide
white solid colourless solution
Give two observations that would be made when zinc carbonate is added to nitric acid until the zinc carbonate is in excess.
[2 marks]
1 ____________________
2 ____________________","any two from:
• (white) solid disappears
• fizzing / bubbles / effervescence
• (then) stops fizzing
• (white) solid left at the end / bottom","allow a gas is produced
ignore colourless solution","7","7","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
"NOV21","AQA GCSE Combined Science: Chemistry Paper 1H","2021","2","Q02.5","multiple choice","1","AO2","5.1.1.1, 5.4.2.2","The formula of the zinc ion is Zn2+
The formula of the nitrate ion is NO3–
What is the formula for zinc nitrate?
[1 mark]
Tick (✓) one box.
ZnNO3 □
Zn(NO3)2 □
Zn2NO3 □
Zn2(NO3)2 □","Zn(NO3)2","","7","7","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-NOV21.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-MS-NOV21.PDF"
