session,exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms,figure_labels,table_labels,question_pdf_link
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.1,short answer,3,AO3,6.1.3,"Figure 1 shows some of the energy resources used to meet the demand for electrical power in the UK on one day in 2020.

Figure 1

The maximum demand for electrical power on that day was at 6 pm.
Determine the percentage of the maximum demand for electrical power that was generated using gas.
[3 marks]
Percentage = ____ %","16 500 (GW) and 30 000 (GW) read from graph
percentage = 16 500 / 30 000 × 100%
percentage = 55 (%)","allow a correct substitution using 
a value of 15300 or 18000 for 
gas
allow an answer consistent with 
a value of 15300 or 18000 for 
gas",2,2,10,10,True,Figure 1,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 1'],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.2,multiple choice,1,AO1,6.1.3,"The UK government wants to reduce carbon emissions as much as possible.
Which energy resources need to be used less to achieve this?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | Coal and gas |
| □ | Gas and nuclear |
| □ | Wind and coal |
| □ | Wind and nuclear |",coal and gas,,3,3,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.3,short answer,1,AO1,6.2.4.3,"A network of transformers and transmission cables transfers electrical power from power stations to consumers.
What is this network called?
[1 mark]",the national grid,,4,4,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,1,1.4,short answer,3,AO1,6.2.4.3,"Explain how using step-up transformers makes the network efficient.
[3 marks]","potential difference increases
current is reduced 
so there is less / low energy loss (to the surroundings)","allow large potential difference
allow small current
allow less / low heating in the 
transmission cables
ignore resistance
do not allow no energy loss",4,4,10,10,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1_KrDGKNUB309vsWJDmJjJftfusc5v6lw/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.1,short answer,6,AO1,"6.1.1.3, 6.3.2.2","A student made measurements to determine the specific heat capacity of vegetable oil.
Figure 2 shows the equipment used.
Figure 2
Describe how the student could use the equipment shown in Figure 2 to determine the specific heat capacity of vegetable oil.
[6 marks]","Level 3: The method would lead to the production of a valid outcome. All key steps are identified and logically sequenced.
Level 2: The method would not necessarily lead to a valid RPA14 outcome. Most steps are identified, but the plan is not fully logically sequenced.
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear.
No relevant content
Indicative content
• measure mass of oil using the top pan balance
• measure start temperature of oil using the thermometer
• place beaker of oil on heater
• switch on heater to heat oil
• measure final temperature of oil using the thermometer
• measure energy transferred using joulemeter
• calculate increase in temperature (∆θ)
• use the equation E = mcΔθ to determine c",,6,6,11,11,True,Figure 2,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 2'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.2,short answer,1,AO1,"6.1.1.3, RPA14","Give one risk when using the equipment in Figure 2.
[1 mark]",burns / scalds,"allow cuts from broken glass
ignore the heater / oil is hot",7,7,11,11,True,Figure 2,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 2'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.3,short answer,1,AO1,"6.1.1.4, 6.2.4.2, RPA14","A different student did not have a joulemeter and calculated the energy transferred by the electric heater.
Use the Physics Equations Sheet to answer questions 02.3 and 02.4.
Write down the equation linking energy transferred (E), power (P) and time (t).
[1 mark]","power = energy transferred / time
or
P = E / t",,7,7,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.4,calculation,3,AO2,"6.1.1.4, 6.2.4.2","The electric heater had a power output of 50 watts.
Calculate the time taken for the electric element to transfer 4750 joules of energy to the vegetable oil.
[3 marks]
Time taken = ____ s","50 = 4750 / t
or
4750 = 50 × t 
t = 4750 / 50
t = 95 (s)",,7,8,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.5,short answer,1,AO1,6.2.1.4,"In a deep fryer, vegetable oil is heated by an electric heating element. Food is then cooked in the hot vegetable oil.
The deep fryer contains an electrical component to monitor the temperature of the vegetable oil. 
Figure 3 shows how the resistance of this electrical component changes with temperature.
Figure 3
What electrical component is used to monitor the temperature of the vegetable oil?
[1 mark]",thermistor,,8,8,11,11,True,Figure 3,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 3'],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.6,calculation,2,AO3,6.2.1.4,"The electric heating element in the deep fryer automatically switches off when the vegetable oil reaches a certain temperature.
Figure 4 shows how the temperature of the vegetable oil changed after the deep fryer was switched on.
Figure 4
Determine the resistance of the electrical component when the electric heating element automatically switched off.
Use Figure 3 and Figure 4.
[2 marks]
Resistance = ____ Ω",250 (Ω),"allow an answer in the range
240 (Ω) to 260 (Ω)
allow 1 mark for temperature = 
160 (°C)",9,9,11,11,True,"Figure 3, Figure 4",False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,"['Figure 3', 'Figure 4']",[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,2,2.7,multiple choice,1,AO1,6.3.1.2,"Some chips were put in the deep fryer. 
In the deep fryer, water in the chips underwent a physical change and became steam.
Why is this a physical change?
[1 mark]
Tick (✓) one box.

|   |   |
|---|---|
| □ | All water can change to steam. |
| □ | No chemicals are involved when water changes to steam. |
| □ | The change from water to steam can be detected visually. |
| □ | The water will recover its original properties if the steam is cooled |",the water will recover its original properties if the steam is cooled,,10,10,11,11,False,,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,[],[],https://drive.google.com/file/d/1ijd6T9sKSQtBSu1Nx8seXsNAF2Elun_S/view
JUN22,AQA GCSE Combined Science: Physics Paper 1H,2022,3,3.1,short answer,4,AO1,"6.1.1.1, 6.1.2.1","A trampoline is made from a sheet of material held in place by stretched springs.
Figure 5 shows a child on a trampoline.
Figure 5
Position A shows the child’s maximum height above the trampoline.
Position B shows the lowest position reached by the child when landing on the trampoline.
Describe the changes to the stores of energy of the:
• child 
• springs 
• surroundings 
as the child moves from position A to position B.
[4 marks]
Child ______________
Springs ______________
Surroundings ______________","Child
gravitational potential energy decreases
kinetic energy increases and then decreases (to zero)
Springs
elastic potential energy increases
Surroundings
internal / thermal store of energy increases","ignore descriptions of energy 
transfers before the child 
reaches position A
ignore references to kinetic 
energy of the springs
allow energy is dissipated 
allow (average) kinetic energy of 
the particles increases",12,13,12,12,True,Figure 5,False,,AQA-8464P1H-QP-JUN22.PDF,AQA-8464P1H-MS-JUN22.PDF,['Figure 5'],[],https://drive.google.com/file/d/1JEhd6icDrEQF-QGwnrH9C-TvJAQvr2Kf/view
