"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","1","01.1","multiple choice","1","AO2","5.4.3.4","A student investigates the mass of copper produced during electrolysis of copper chloride solution.
Figure 1 shows the apparatus.
Figure 1
Which gas is produced at the positive electrode (anode)?
[1 mark]
Tick one box.

|   |   |
|---|---|
| ☐ | carbon dioxide |
| ☐ | chlorine |
| ☐ | hydrogen |
| ☐ | oxygen |","chlorine","","2","2","10","10","true","Figure 1","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","1","01.2","multiple choice","1","AO2","5.4.3.4","Copper is produced at the negative electrode (cathode).
What does this tell you about the reactivity of copper?
[1 mark]
Tick one box.

|   |   |
|---|---|
| ☐ | Copper is less reactive than hydrogen |
| ☐ | Copper is less reactive than oxygen |
| ☐ | Copper is more reactive than carbon |
| ☐ | Copper is more reactive than chlorine |","copper is less reactive than hydrogen","","3","3","10","10","false","","true","Table 1","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","1","01.3","short answer","1","AO3","5.4.3.4","Table 1 shows the student’s results.

Table 1

| Time in mins | Experiment 1 | Experiment 2 | Experiment 3 | Mean |
|--------------|--------------|--------------|--------------|------|
| 1            | 0.60         | 0.58         | 0.62         | 0.60 |
| 2            | 1.17         | 1.22         | 1.21         | 1.20 |
| 4            | 2.40         | 2.41         | 2.39         | 2.40 |
| 5            | 3.02         | X            | 3.01         | 3.06 |

Determine the mean mass of copper produced after 3 minutes.
[1 mark]
Mass = ____ mg","1.8 (mg) allow an answer in range 1.7‒1.9","","3","3","10","10","false","","true","Table 1","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","1","01.4","calculation","2","AO2","5.4.3.4","Calculate the mass X of copper produced in Experiment 2 after 5 minutes.
Use Table 1 on page 3
[2 marks]
Mass X = ____ mg","3.02 + 3.01 + x
            3
= 3.06
3.15 (mg)
an answer of 3.15 (mg) scores 2 marks
allow any other suitable method
if no other mark awarded allow 9.18 for 1 mark","","4","4","10","10","false","","true","Table 1","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","1","01.5","calculation","3","AO2","5.3.2.5","The copper chloride solution used in the investigation contained 300 grams per dm3 of solid CuCl2 dissolved in 1 dm3 of water.
The student used 50 cm3 of copper chloride solution in each experiment.
Calculate the mass of solid copper chloride used in each experiment.
[3 marks]
Mass = ____ g","50/1000 or 1/20 or 0.05 (1)
(0.05) × 300 (1)
15 (g) (1)
or
300/1000 or 3/10 or 0.3 (1)
0.3 × 50 (1)
15 (g) (1)
an answer of 15 (g) scores 3 marks
the second mark is dependent on the first mark being scored
the third mark is dependent on the second mark being scored
if no other mark awarded allow 150 or 15 000 for 1 mark","","4","4","10","10","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","2","02.1","short answer","2","AO2","5.1.1.7, 5.1.2.1","This question is about sodium and chlorine.
Figure 2 shows the positions of sodium and chlorine in the periodic table.
Figure 2
State one difference and one similarity in the electronic structure of sodium and of chlorine.
[2 marks]
Difference _____________________________
Similarity _____________________________","(difference)
sodium has one and chlorine has seven electrons in outer level / shell 
or number of electrons
(similarity)
both have three / same number of levels / shells 
or have electrons in third level / shell 
or both have incomplete (outer) levels / shells","number of electrons must be correct if quoted
allow both have 2 electrons in inner shell
or 
both have 8 electrons in second shell
or 
both are one electron away from full outer level / shell","5","5","11","11","true","Figure 2","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","2","02.2","short answer","4","AO1","5.2.1.2","Sodium atoms react with chlorine atoms to produce sodium chloride (NaCl).
Describe what happens when a sodium atom reacts with a chlorine atom.
Write about electron transfer in your answer.
[4 marks]","sodium (atom) loses one (outer shell electron)
chlorine (atom) gains one (electron)","allow marks from suitable diagram(s)
allow moves / transfers for loses
do not accept sodium ion loses
do not accept chloride
transfer of 1 electron from chlorine to sodium max 2 marks
reference to sharing or covalent bonding max 3 marks","5","6","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","2","02.3","short answer","2","AO1","5.5.1.2","The reaction between sodium and chlorine is an exothermic reaction.
Complete the reaction profile for the reaction between sodium and chlorine.
[2 marks]
Figure 3","(ignore labels)
any curve / line going up and then down
products line below reactants","ignore labels
any curve / line going up and then down
products line below reactants
allow curve to start / finish anywhere along reactant / product lines","6","7","11","11","true","Figure 3","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","3","03.1","extended response","6","AO3","5.4.2.3","A student plans a method to prepare pure crystals of copper sulfate.
The student’s method is:
1. Add one spatula of calcium carbonate to dilute hydrochloric acid in a beaker.
2. When the fizzing stops, heat the solution with a Bunsen burner until all the liquid is gone.
The method contains several errors and does not produce copper sulfate crystals.
Explain the improvements the student should make to the method so that pure crystals of copper sulfate are produced. 
[6 marks]","Level 3: Relevant points (reasons / causes) are identified, given in detail and logically linked to form a clear account.
Level 2: Relevant points (reasons / causes) are identified, and there are attempts at logical linking. The resulting account is not fully clear.
Level 1: Points are identified and stated simply, but their relevance is not clear and there is no attempt at logical linking.
No relevant content

Indicative content: 
• uses sulfuric acid not hydrochloric acid or sulfuric acid needed
• uses copper carbonate / oxide not calcium carbonate or copper carbonate / oxide needed
• add solid until solid remains or is in excess or no more reacts / dissolves so that most / all of the acid reacts
• filter to remove excess or unreacted carbonate / oxide / solid
• heat gently or partially evaporate or leave until crystals appear or to crystallise

for level 3 the correct chemicals must have been selected","","7","8","11","11","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1H, 2018","2018","4","04.1","short answer","1","AO1","5.1.2.6","This question is about the halogens.
Write the state symbol for chlorine at room temperature.
[1 mark]
Cl2 ( ____ )","g","do not accept upper case (G) 
do not accept gas","8","8","12","12","false","","false","","C1H Papers and Mark Schemes\AQA-8464C1H-QP-JUN18.PDF","C1H Papers and Mark Schemes\AQA-8464C1H-W-MS-JUN18.PDF"
