"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.1","short answer","1","AO2","5.9.1.1","The Earth’s atmosphere contains 21% oxygen.
Draw the bar for oxygen on Figure 1.
[1 mark]
Figure 1","bar drawn to 21%","","2","2","10","10","true","Figure 1","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.2","multiple choice","1","AO1","5.8.2.2","What is used to test for oxygen gas?
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | A burning splint |
| ☐ | A glowing splint |
| ☐ | Damp litmus paper |
| ☐ | Limewater |","a glowing splint","","2","2","10","10","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.3","short answer","2","AO2","5.9.1.2, 5.9.1.3","The Earth’s early atmosphere was very different from the Earth’s atmosphere today.
Figure 2 shows the composition of the Earth’s early atmosphere and of the Earth’s atmosphere today.
Figure 2
The percentages of nitrogen and oxygen in the Earth’s atmosphere today are different from the Earth’s early atmosphere.
Complete the sentences.
Choose answers from the box.
Use Figure 2.
Each answer can be used once, more than once or not at all.
decreased  increased  stayed the same
Since the Earth’s early atmosphere, the percentage of nitrogen in the Earth’s atmosphere has _____.
Since the Earth’s early atmosphere, the percentage of oxygen in the Earth’s atmosphere has _____.","(nitrogen) increased
(oxygen) increased","","3","4","10","10","true","Figure 2","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.4","multiple choice","2","AO1","5.9.1.2, 5.9.1.4","The Earth’s atmosphere today contains a small amount of carbon dioxide.
Why has the percentage of carbon dioxide decreased since the Earth’s early atmosphere?
Tick (✓) two boxes.

|   |   |
|---|---|
| ☐ | Dissolved in oceans |
| ☐ | Formation of sedimentary rocks |
| ☐ | Industrialisation |
| ☐ | Respiration |
| ☐ | Volcanic activity |","dissolved in oceans
formation of sedimentary rocks","","4","4","10","10","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.5","short answer","2","AO2","5.9.3.1","Oxides of nitrogen are produced when nitrogen reacts with oxygen in car engines.
Figure 3 shows the concentration of oxides of nitrogen in the atmosphere during one day in a city.
Figure 3
Which two times have the highest concentrations of oxides of nitrogen in the atmosphere?
[2 marks]
1 ______________________
2 ______________________","9 (am) allow 0900
5 (pm) allow 1700","allow 0900
allow 1700","5","5","10","10","true","Figure 3","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","1","01.6","short answer","1","AO3","5.9.3.1","Suggest why there are the highest concentrations of oxides of nitrogen at these times.
______________________________
______________________________
_____","more cars / buses / lorries on the roads","","5","5","10","10","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","2","02.1","short answer","1","AO1","5.9.1.4","This question is about fuels.
Coal deposits were formed from the remains of trees.
Name the process in the leaves of trees that uses carbon dioxide.
______________________________","photosynthesis","","6","6","11","11","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","2","02.2","multiple choice","1","AO1","5.9.1.4","How is coal formed after trees die?
Tick (✓) one box.

|   |   |
|---|---|
| ☐ | The trees are burned. |
| ☐ | The trees are compressed. |
| ☐ | The trees are melted. |","the trees are compressed","","6","6","11","11","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","2","02.3","short answer","1","AO1","5.9.3.1","Coal contains small amounts of sulfur.
Name the gas produced when sulfur burns in oxygen.
______________________________","sulfur dioxide","allow SO₂","6","6","11","11","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
"JUN22","AQA GCSE Combined Science: Chemistry Paper 2F","2022","2","02.4","short answer","2","AO1","5.9.3.2","Give two problems caused by the gas produced when sulfur burns in oxygen.
1 ______________________________
2 ______________________________","acid rain
respiratory problems","allow ecf from question 02.3
allow specified damage caused by acid rain
allow named respiratory problem","6","6","11","11","false","","false","","C2F Papers and Mark Schemes\AQA-8464C2F-QP-JUN22-CR.PDF","C2F Papers and Mark Schemes\AQA-8464C2F-MS-JUN22.PDF"
